sndr_msg_id,msg_fctn,settle_dte,trade_dte,fin_instrmnt_id,trd_place,deal_price,currency_cd,settle_status,settle_priority,party_priority
197a21f8-1238-492d-b82f-41c4473c279d,PREADVICE,2021-02-27,2021-02-24,US1729674242,OTCO,191.2455565,USD,UNMATCHED,LOW,
19e778ff-c40a-4d2a-8e66-281d086631d9,PREADVICE,2021-02-25,2021-02-24,US30303M1027,EXCH,659.1330806,INR,UNMATCHED,HIGH,
19ee7f3b-e3db-463e-8ced-3192d902f438,PREADVICE,2021-02-25,2021-02-24,US0231351067,EXCH,265.4947556,GBP,MATCHED,HIGH,
1a0a02e1-e807-4ee1-986c-e3fd4c17e8e0,PREADVICE,2021-02-27,2021-02-24,US4581401001,SECM,239.9710905,INR,MATCHED,LOW,
1a53c9e1-9213-4a0d-a517-adae268539be,PREADVICE,2021-02-27,2021-02-24,US4581401001,SECM,189.9149985,INR,MATCHED,LOW,
1ae5627d-ffb6-44a2-9f0f-288b55b098de,PREADVICE,2021-02-25,2021-02-24,US30303M1027,EXCH,769.0038774,USD,ERROR,HIGH,
1aef61b9-3588-4913-8f38-5be542b9bb02,PREADVICE,2021-02-25,2021-02-24,US5949181045,OTCO,713.9429381,USD,MATCHED,HIGH,
1b3d6354-a485-49ab-a5a1-16c178dcf19b,PREADVICE,2021-02-25,2021-02-24,US17275R1023,PRIM,301.1135171,INR,MATCHED,HIGH,
1b51fcec-d544-486d-98b2-1c014a33ee4a,PREADVICE,2021-02-27,2021-02-24,US30303M1027,SECM,112.1011438,USD,UNMATCHED,LOW,
1b546297-0e1a-466b-888e-b498596344d9,PREADVICE,2021-02-27,2021-02-24,US17275R1023,EXCH,670.285247,INR,MATCHED,LOW,
1b7bab17-0733-4620-b97a-47b97a8e8e7e,PREADVICE,2021-02-26,2021-02-24,US0378331005,EXCH,305.0725316,GBP,UNMATCHED,MEDIUM,
1bc9b253-cd59-46d2-9795-8f433208dfd9,PREADVICE,2021-02-27,2021-02-24,US17275R1023,OTCO,150.0384717,USD,UNMATCHED,LOW,
1c119501-d6b2-42b3-b3c9-f12bbf07adad,PREADVICE,2021-02-26,2021-02-24,US5949181045,PRIM,203.8521081,GBP,MATCHED,MEDIUM,
1c30b4de-d776-4f41-a51e-1dcb0246b4d4,PREADVICE,2021-02-25,2021-02-24,US02079K1079,SECM,955.7981307,USD,MATCHED,HIGH,
1c83a9ff-4034-4aac-8d5b-c4cd55e490ab,PREADVICE,2021-02-26,2021-02-24,US30303M1027,SECM,23.8766954,GBP,MATCHED,MEDIUM,
1c8abd62-84ba-461a-b7c6-9076ea56f765,PREADVICE,2021-02-27,2021-02-24,US4592001014,PRIM,136.6980453,USD,MATCHED,LOW,
